time	V(n001)	I(R1)
0.000000000000000e+00	3.865920e-03	0.000000e+00
1.912761081383385e-07	3.865358e-03	-1.237451e-09
3.825522162766771e-07	3.865740e-03	-3.596610e-09
5.738283244150156e-07	3.867067e-03	-7.077476e-09
7.651044325533541e-07	3.869339e-03	-1.168005e-08
9.563805406916926e-07	3.872555e-03	-1.740433e-08
1.147656648830031e-06	3.876716e-03	-2.425032e-08
1.338932756968369e-06	3.881822e-03	-3.221802e-08
1.498027061024833e-06	3.887691e-03	-3.916850e-08
1.657121365081297e-06	3.894494e-03	-4.575615e-08
1.816215669137761e-06	3.902229e-03	-5.198098e-08
1.975309973194225e-06	3.910898e-03	-5.784297e-08
2.134404277250689e-06	3.920500e-03	-6.334214e-08
2.293498581307153e-06	3.931035e-03	-6.847848e-08
2.452592885363617e-06	3.942503e-03	-7.325198e-08
3.067105314424635e-06	3.990615e-03	-8.192260e-08
3.460732698721318e-06	4.022534e-03	-7.961923e-08
3.608478696332689e-06	4.034231e-03	-7.696513e-08
3.756224693944061e-06	4.045267e-03	-7.371264e-08
3.903970691555433e-06	4.055644e-03	-6.986174e-08
4.051716689166805e-06	4.065361e-03	-6.541244e-08
4.199462686778177e-06	4.074418e-03	-6.036474e-08
4.347208684389548e-06	4.082816e-03	-5.471863e-08
4.494954682000920e-06	4.090554e-03	-4.847413e-08
4.710389941822270e-06	4.099597e-03	-3.866336e-08
4.925825201643621e-06	4.106999e-03	-2.968464e-08
5.141260461464973e-06	4.112758e-03	-2.153798e-08
5.356695721286323e-06	4.116874e-03	-1.422339e-08
5.572130981107674e-06	4.119349e-03	-7.740847e-09
5.787566240929025e-06	4.120181e-03	-2.090366e-09
6.003001500750375e-06	4.119370e-03	2.728056e-09
6.217265900210041e-06	4.117461e-03	4.416399e-09
6.431530299669705e-06	4.116312e-03	4.526386e-09
6.645794699129370e-06	4.115924e-03	3.058015e-09
6.860059098589035e-06	4.116296e-03	1.128725e-11
7.074323498048700e-06	4.117430e-03	-4.613798e-09
7.288587897508365e-06	4.119324e-03	-1.081724e-08
7.502852296968029e-06	4.121978e-03	-1.859904e-08
7.717373718990534e-06	4.127160e-03	-2.743183e-08
7.931895141013040e-06	4.133926e-03	-3.571184e-08
8.146416563035544e-06	4.142277e-03	-4.343905e-08
8.360937985058050e-06	4.152212e-03	-5.061348e-08
8.575459407080554e-06	4.163731e-03	-5.723512e-08
8.789980829103060e-06	4.176835e-03	-6.330396e-08
9.004502251125564e-06	4.191523e-03	-6.882002e-08
9.241451508160187e-06	4.208398e-03	-7.183874e-08
9.557383850873016e-06	4.231166e-03	-7.256416e-08
1.006818896979319e-05	4.266563e-03	-6.553262e-08
1.044730778104859e-05	4.289231e-03	-5.459910e-08
1.178744983852161e-05	4.327107e-03	-3.314320e-09
1.210452893326865e-05	4.323868e-03	5.072730e-09
1.242160802801569e-05	4.321310e-03	1.005266e-08
1.273868712276272e-05	4.319432e-03	1.162546e-08
1.305576621750976e-05	4.318235e-03	9.791148e-09
1.337284531225680e-05	4.317719e-03	4.549711e-09
1.368992440700384e-05	4.317883e-03	-4.098848e-09
1.400700350175088e-05	4.318728e-03	-1.615453e-08
1.421080449944646e-05	4.323200e-03	-2.456030e-08
1.441460549714205e-05	4.328957e-03	-3.222524e-08
1.461840649483763e-05	4.335999e-03	-3.914935e-08
1.482220749253322e-05	4.344326e-03	-4.533262e-08
1.502600849022880e-05	4.353938e-03	-5.077506e-08
1.522980948792438e-05	4.364835e-03	-5.547667e-08
1.543361048561997e-05	4.377018e-03	-5.943745e-08
1.600800400200100e-05	4.411753e-03	-6.085816e-08
1.626611276934156e-05	4.427000e-03	-5.731819e-08
1.661025779246230e-05	4.445331e-03	-4.926855e-08
1.721499126599851e-05	4.468636e-03	-2.817100e-08
1.738748636886841e-05	4.472623e-03	-2.075562e-08
1.755998147173831e-05	4.475577e-03	-1.380645e-08
1.773247657460820e-05	4.477498e-03	-7.323494e-09
1.790497167747810e-05	4.478386e-03	-1.306757e-09
1.807746678034800e-05	4.478240e-03	4.243765e-09
1.824996188321790e-05	4.477062e-03	9.328070e-09
