time	I(R1)
0.000000000000000e+00	0.000000e+00
1.912761081383385e-07	-1.237451e-09
3.825522162766771e-07	-3.596610e-09
5.738283244150156e-07	-7.077476e-09
7.651044325533541e-07	-1.168005e-08
9.563805406916926e-07	-1.740433e-08
1.147656648830031e-06	-2.425032e-08
1.338932756968369e-06	-3.221802e-08
1.498027061024833e-06	-3.916850e-08
1.657121365081297e-06	-4.575615e-08
1.816215669137761e-06	-5.198098e-08
1.975309973194225e-06	-5.784297e-08
2.134404277250689e-06	-6.334214e-08
2.293498581307153e-06	-6.847848e-08
2.452592885363617e-06	-7.325198e-08
3.067105314424635e-06	-8.192260e-08
3.460732698721318e-06	-7.961923e-08
3.608478696332689e-06	-7.696513e-08
3.756224693944061e-06	-7.371264e-08
3.903970691555433e-06	-6.986174e-08
4.051716689166805e-06	-6.541244e-08
4.199462686778177e-06	-6.036474e-08
4.347208684389548e-06	-5.471863e-08
4.494954682000920e-06	-4.847413e-08
4.710389941822270e-06	-3.866336e-08
4.925825201643621e-06	-2.968464e-08
5.141260461464973e-06	-2.153798e-08
5.356695721286323e-06	-1.422339e-08
5.572130981107674e-06	-7.740847e-09
5.787566240929025e-06	-2.090366e-09
6.003001500750375e-06	2.728056e-09
6.217265900210041e-06	4.416399e-09
6.431530299669705e-06	4.526386e-09
6.645794699129370e-06	3.058015e-09
6.860059098589035e-06	1.128725e-11
7.074323498048700e-06	-4.613798e-09
7.288587897508365e-06	-1.081724e-08
7.502852296968029e-06	-1.859904e-08
7.717373718990534e-06	-2.743183e-08
7.931895141013040e-06	-3.571184e-08
8.146416563035544e-06	-4.343905e-08
8.360937985058050e-06	-5.061348e-08
8.575459407080554e-06	-5.723512e-08
8.789980829103060e-06	-6.330396e-08
9.004502251125564e-06	-6.882002e-08
9.241451508160187e-06	-7.183874e-08
9.557383850873016e-06	-7.256416e-08
1.006818896979319e-05	-6.553262e-08
1.044730778104859e-05	-5.459910e-08
1.178744983852161e-05	-3.314320e-09
1.210452893326865e-05	5.072730e-09
1.242160802801569e-05	1.005266e-08
1.273868712276272e-05	1.162546e-08
1.305576621750976e-05	9.791148e-09
1.337284531225680e-05	4.549711e-09
1.368992440700384e-05	-4.098848e-09
1.400700350175088e-05	-1.615453e-08
1.421080449944646e-05	-2.456030e-08
1.441460549714205e-05	-3.222524e-08
1.461840649483763e-05	-3.914935e-08
1.482220749253322e-05	-4.533262e-08
1.502600849022880e-05	-5.077506e-08
1.522980948792438e-05	-5.547667e-08
1.543361048561997e-05	-5.943745e-08
1.600800400200100e-05	-6.085816e-08
1.626611276934156e-05	-5.731819e-08
1.661025779246230e-05	-4.926855e-08
1.721499126599851e-05	-2.817100e-08
1.738748636886841e-05	-2.075562e-08
1.755998147173831e-05	-1.380645e-08
1.773247657460820e-05	-7.323494e-09
1.790497167747810e-05	-1.306757e-09
1.807746678034800e-05	4.243765e-09
1.824996188321790e-05	9.328070e-09
1.842245698608779e-05	1.394616e-08
1.886347296884690e-05	2.042726e-08
1.917758329491251e-05	2.064534e-08
1.940168801829427e-05	1.862630e-08
1.978974292453662e-05	1.124156e-08
1.998334792885990e-05	5.465669e-09
2.017695293318317e-05	-5.025648e-10
2.037055793750644e-05	-6.663145e-09
2.056416294182972e-05	-1.301607e-08
2.075776794615299e-05	-1.956134e-08
2.095137295047626e-05	-2.629896e-08
2.114497795479954e-05	-3.322892e-08
2.168286876349244e-05	-4.560606e-08
2.208272427724376e-05	-4.880950e-08
2.251303692419808e-05	-4.581282e-08
2.306888077247035e-05	-3.296931e-08
2.432021172466549e-05	1.268590e-08
2.467244683513861e-05	2.287101e-08
2.517029121593282e-05	3.096210e-08
2.538067116634115e-05	3.182826e-08
2.580143106715783e-05	2.889063e-08
2.620766178196648e-05	2.055768e-08
2.641821511888491e-05	1.381356e-08
2.662876845580334e-05	7.158029e-09
2.683932179272177e-05	5.910772e-10
2.704987512964019e-05	-5.887291e-09
2.726042846655862e-05	-1.227708e-08
2.747098180347705e-05	-1.857828e-08
2.768153514039548e-05	-2.479089e-08
2.818279665558652e-05	-3.310409e-08
2.840784952503288e-05	-3.417494e-08
2.885795526392559e-05	-3.101205e-08
2.919364247325056e-05	-2.423241e-08
2.982976697525917e-05	-4.024663e-09
3.005240158550240e-05	5.107997e-09
3.027503619574563e-05	1.341443e-08
3.049767080598886e-05	2.089463e-08
3.072030541623208e-05	2.754861e-08
3.094294002647531e-05	3.337636e-08
3.116557463671854e-05	3.837788e-08
3.138820924696176e-05	4.255318e-08
3.181415381048727e-05	4.446822e-08
3.227157474211731e-05	3.954868e-08
3.261233039293770e-05	3.216223e-08
3.282635042634677e-05	2.552799e-08
3.304037045975584e-05	1.904857e-08
3.325439049316491e-05	1.272398e-08
3.346841052657399e-05	6.554216e-09
3.368243055998306e-05	5.392789e-10
3.389645059339213e-05	-5.320832e-09
3.411047062680120e-05	-1.102612e-08
3.448431911699747e-05	-1.649148e-08
3.505100534245843e-05	-1.619281e-08
3.551995757559574e-05	-8.016747e-09
3.568292007301513e-05	-3.408620e-09
3.584588257043451e-05	1.471039e-09
3.600884506785390e-05	6.622229e-09
3.617180756527328e-05	1.204495e-08
3.633477006269267e-05	1.773921e-08
3.649773256011205e-05	2.370499e-08
3.666069505753144e-05	2.994231e-08
3.718936436971782e-05	4.668852e-08
3.741717118983849e-05	5.215824e-08
3.801900950475238e-05	5.910566e-08
3.829237768889717e-05	5.821535e-08
3.865686860109023e-05	5.367489e-08
3.923820430219328e-05	3.967073e-08
3.945669844327985e-05	3.238453e-08
3.967519258436643e-05	2.574006e-08
3.989368672545300e-05	1.973732e-08
4.011218086653957e-05	1.437630e-08
4.033067500762614e-05	9.657010e-09
4.054916914871272e-05	5.579450e-09
4.076766328979929e-05	2.143618e-09
4.099592510951673e-05	9.213861e-10
4.122418692923416e-05	1.192000e-09
4.145244874895159e-05	2.955459e-09
4.168071056866904e-05	6.211763e-09
4.190897238838647e-05	1.096091e-08
4.213723420810391e-05	1.720291e-08
4.236549602782134e-05	2.493775e-08
4.261463672803931e-05	3.447656e-08
4.286377742825729e-05	4.316051e-08
4.311291812847526e-05	5.098961e-08
4.336205882869323e-05	5.796386e-08
4.361119952891120e-05	6.408325e-08
4.386034022912918e-05	6.934779e-08
4.410948092934715e-05	7.375747e-08
4.463430047241350e-05	7.468019e-08
4.523243907285437e-05	6.578362e-08
4.546533674454075e-05	5.923385e-08
4.569823441622713e-05	5.292289e-08
4.593113208791351e-05	4.685075e-08
4.616402975959990e-05	4.101741e-08
4.639692743128628e-05	3.542288e-08
4.662982510297267e-05	3.006716e-08
4.686272277465905e-05	2.495024e-08
4.722275805564957e-05	2.102202e-08
4.748841978867839e-05	2.061797e-08
4.802401200600301e-05	2.632938e-08
4.859094276050172e-05	4.066109e-08
4.882034040135082e-05	4.869579e-08
4.904973804219992e-05	5.631111e-08
4.927913568304902e-05	6.350705e-08
4.950853332389811e-05	7.028361e-08
4.973793096474722e-05	7.664079e-08
4.996732860559631e-05	8.257859e-08
5.019672624644541e-05	8.809701e-08
5.042567790003512e-05	9.134841e-08
