time	V(n001)	I(R1)
0.000000000000000e+00	1.000000e+00	0.000000e+00
9.999999439624929e-11	9.931142e-01	0.000000e+00
3.999999775849972e-10	9.931142e-01	0.000000e+00
7.999999551699943e-10	9.958737e-01	0.000000e+00
1.599999910339989e-09	1.002397e+00	2.220446e-17
3.199999820679977e-09	9.997225e-01	0.000000e+00
6.399999641359955e-09	1.000000e+00	0.000000e+00
1.279999928271991e-08	9.995146e-01	1.110223e-17
2.559999856543982e-08	9.999861e-01	1.110223e-17
5.119999713087964e-08	1.000014e+00	0.000000e+00
1.023999942617593e-07	9.999584e-01	-1.110223e-17
2.047999885235186e-07	9.999861e-01	1.110223e-17
4.095999770470371e-07	1.000007e+00	0.000000e+00
8.191999540940742e-07	9.999861e-01	0.000000e+00
3.276799816376297e-06	1.000016e+00	0.000000e+00
1.753828545196614e-05	1.000006e+00	-3.675432e-18
3.179977108755599e-05	9.999981e-01	-6.125720e-18
4.606125672314583e-05	9.999926e-01	-7.350864e-18
6.032274235873568e-05	9.999893e-01	-7.350864e-18
7.458422799432553e-05	9.999881e-01	-6.125720e-18
8.884571362991537e-05	9.999891e-01	-3.675432e-18
1.031071992655052e-04	9.999922e-01	0.000000e+00
1.169490279418616e-04	9.999905e-01	-2.716333e-18
1.307908566182180e-04	9.999899e-01	-4.527221e-18
1.446326852945744e-04	9.999905e-01	-5.432666e-18
1.584745139709308e-04	9.999922e-01	-5.432666e-18
1.723163426472872e-04	9.999951e-01	-4.527221e-18
1.861581713236436e-04	9.999991e-01	-2.716333e-18
2.000000000000000e-04	1.000004e+00	0.000000e+00
2.000276974878298e-04	9.999445e-01	3.834536e-09
2.000830924634893e-04	9.999306e-01	1.916911e-08
2.001448313554948e-04	1.000000e+00	5.431454e-08
2.002054838054372e-04	1.000000e+00	1.073514e-07
2.003267887053222e-04	9.999722e-01	2.683080e-07
2.005693985050921e-04	9.999792e-01	8.082338e-07
2.010546181046319e-04	9.998508e-01	2.740920e-06
2.020250573037115e-04	9.992194e-01	9.758370e-06
2.035194249397630e-04	9.962600e-01	2.708105e-05
2.051856514094928e-04	9.894704e-01	5.146885e-05
2.071350189123961e-04	9.765585e-01	7.840438e-05
2.091711244314189e-04	9.586724e-01	9.546963e-05
2.115356860983358e-04	9.363238e-01	9.374449e-05
2.144872221711471e-04	9.133559e-01	6.392992e-05
2.159775512585379e-04	9.056375e-01	4.255458e-05
2.171913406582853e-04	9.016282e-01	2.623083e-05
2.184066315023203e-04	8.993515e-01	1.344239e-05
2.195532512118314e-04	8.982823e-01	6.232977e-06
2.206541763166392e-04	8.977036e-01	4.596450e-06
2.218255637994488e-04	8.968817e-01	8.690256e-06
2.235348460946520e-04	8.939676e-01	2.377344e-05
2.255058403683280e-04	8.865156e-01	4.909144e-05
2.274625402046600e-04	8.742038e-01	7.412700e-05
2.296157506413259e-04	8.562470e-01	9.120531e-05
2.319139229417604e-04	8.353997e-01	9.039028e-05
2.349138549744469e-04	8.125689e-01	6.354314e-05
2.363957759922850e-04	8.047753e-01	4.420375e-05
2.376886985593819e-04	8.002453e-01	2.833503e-05
2.390008433950441e-04	7.974586e-01	1.597726e-05
2.402954144754868e-04	7.958963e-01	9.399029e-06
2.403930121837203e-04	7.958144e-01	9.181113e-06
2.405882076001873e-04	7.956479e-01	8.823732e-06
2.409785984331213e-04	7.952954e-01	8.581046e-06
2.417102412016631e-04	7.946085e-01	9.804624e-06
2.431735267387469e-04	7.924981e-01	1.821860e-05
2.452074456647491e-04	7.864121e-01	3.935626e-05
2.471318835388826e-04	7.763281e-01	6.287161e-05
2.493474619229967e-04	7.599047e-01	8.352404e-05
2.515405008406018e-04	7.409061e-01	8.928653e-05
2.542903166774710e-04	7.186482e-01	7.375263e-05
2.559351966779102e-04	7.081820e-01	5.562221e-05
2.574280109954028e-04	7.013776e-01	3.798766e-05
2.588609536258887e-04	6.970902e-01	2.360319e-05
2.602694899767231e-04	6.944894e-01	1.462992e-05
2.618655585674879e-04	6.923392e-01	1.265196e-05
2.633955410799244e-04	6.898429e-01	1.915160e-05
2.652516169468816e-04	6.846096e-01	3.556543e-05
2.672723307858383e-04	6.749437e-01	5.795097e-05
2.694557128018146e-04	6.598953e-01	7.809360e-05
2.717172713848090e-04	6.412435e-01	8.599586e-05
2.743539859474182e-04	6.201170e-01	7.507920e-05
2.764122666714437e-04	6.068963e-01	5.536206e-05
2.779034943472631e-04	5.999903e-01	3.930437e-05
2.793405266893679e-04	5.954195e-01	2.611164e-05
2.808572188752033e-04	5.922035e-01	1.748143e-05
2.825518496973155e-04	5.893487e-01	1.630042e-05
2.843078985220835e-04	5.856911e-01	2.450481e-05
2.861638424282344e-04	5.794710e-01	4.076289e-05
2.882081122442144e-04	5.688201e-01	6.136588e-05
2.904739483818759e-04	5.528113e-01	7.842193e-05
2.928208746359869e-04	5.339283e-01	8.220574e-05
2.956676949669619e-04	5.128665e-01	6.688642e-05
2.973304455555862e-04	5.031996e-01	5.114153e-05
2.988806255073280e-04	4.965774e-01	3.629294e-05
3.004504107939552e-04	4.919136e-01	2.463605e-05
3.021265298614216e-04	4.883228e-01	1.887319e-05
3.038990896874840e-04	4.847083e-01	2.167110e-05
3.064506673873242e-04	4.768364e-01	3.863069e-05
3.087100032150502e-04	4.655854e-01	5.921936e-05
3.112159267777676e-04	4.484218e-01	7.630954e-05
3.135356595313715e-04	4.303583e-01	7.925863e-05
3.164833033010125e-04	4.093561e-01	6.423700e-05
3.181545801674179e-04	3.999844e-01	4.964148e-05
3.197488402729408e-04	3.932974e-01	3.593614e-05
3.214030960463573e-04	3.883182e-01	2.550367e-05
