time	I(R1)
0.000000000000000e+00	0.000000e+00
9.999999439624929e-11	0.000000e+00
3.999999775849972e-10	0.000000e+00
7.999999551699943e-10	0.000000e+00
1.599999910339989e-09	2.220446e-17
3.199999820679977e-09	0.000000e+00
6.399999641359955e-09	0.000000e+00
1.279999928271991e-08	1.110223e-17
2.559999856543982e-08	1.110223e-17
5.119999713087964e-08	0.000000e+00
1.023999942617593e-07	-1.110223e-17
2.047999885235186e-07	1.110223e-17
4.095999770470371e-07	0.000000e+00
8.191999540940742e-07	0.000000e+00
3.276799816376297e-06	0.000000e+00
1.753828545196614e-05	-3.675432e-18
3.179977108755599e-05	-6.125720e-18
4.606125672314583e-05	-7.350864e-18
6.032274235873568e-05	-7.350864e-18
7.458422799432553e-05	-6.125720e-18
8.884571362991537e-05	-3.675432e-18
1.031071992655052e-04	0.000000e+00
1.169490279418616e-04	-2.716333e-18
1.307908566182180e-04	-4.527221e-18
1.446326852945744e-04	-5.432666e-18
1.584745139709308e-04	-5.432666e-18
1.723163426472872e-04	-4.527221e-18
1.861581713236436e-04	-2.716333e-18
2.000000000000000e-04	0.000000e+00
2.000276974878298e-04	3.834536e-09
2.000830924634893e-04	1.916911e-08
2.001448313554948e-04	5.431454e-08
2.002054838054372e-04	1.073514e-07
2.003267887053222e-04	2.683080e-07
2.005693985050921e-04	8.082338e-07
2.010546181046319e-04	2.740920e-06
2.020250573037115e-04	9.758370e-06
2.035194249397630e-04	2.708105e-05
2.051856514094928e-04	5.146885e-05
2.071350189123961e-04	7.840438e-05
2.091711244314189e-04	9.546963e-05
2.115356860983358e-04	9.374449e-05
2.144872221711471e-04	6.392992e-05
2.159775512585379e-04	4.255458e-05
2.171913406582853e-04	2.623083e-05
2.184066315023203e-04	1.344239e-05
2.195532512118314e-04	6.232977e-06
2.206541763166392e-04	4.596450e-06
2.218255637994488e-04	8.690256e-06
2.235348460946520e-04	2.377344e-05
2.255058403683280e-04	4.909144e-05
2.274625402046600e-04	7.412700e-05
2.296157506413259e-04	9.120531e-05
2.319139229417604e-04	9.039028e-05
2.349138549744469e-04	6.354314e-05
2.363957759922850e-04	4.420375e-05
2.376886985593819e-04	2.833503e-05
2.390008433950441e-04	1.597726e-05
2.402954144754868e-04	9.399029e-06
2.403930121837203e-04	9.181113e-06
2.405882076001873e-04	8.823732e-06
2.409785984331213e-04	8.581046e-06
2.417102412016631e-04	9.804624e-06
2.431735267387469e-04	1.821860e-05
2.452074456647491e-04	3.935626e-05
2.471318835388826e-04	6.287161e-05
2.493474619229967e-04	8.352404e-05
2.515405008406018e-04	8.928653e-05
2.542903166774710e-04	7.375263e-05
2.559351966779102e-04	5.562221e-05
2.574280109954028e-04	3.798766e-05
2.588609536258887e-04	2.360319e-05
2.602694899767231e-04	1.462992e-05
2.618655585674879e-04	1.265196e-05
2.633955410799244e-04	1.915160e-05
2.652516169468816e-04	3.556543e-05
2.672723307858383e-04	5.795097e-05
2.694557128018146e-04	7.809360e-05
2.717172713848090e-04	8.599586e-05
2.743539859474182e-04	7.507920e-05
2.764122666714437e-04	5.536206e-05
2.779034943472631e-04	3.930437e-05
2.793405266893679e-04	2.611164e-05
2.808572188752033e-04	1.748143e-05
2.825518496973155e-04	1.630042e-05
2.843078985220835e-04	2.450481e-05
2.861638424282344e-04	4.076289e-05
2.882081122442144e-04	6.136588e-05
2.904739483818759e-04	7.842193e-05
2.928208746359869e-04	8.220574e-05
2.956676949669619e-04	6.688642e-05
2.973304455555862e-04	5.114153e-05
2.988806255073280e-04	3.629294e-05
3.004504107939552e-04	2.463605e-05
3.021265298614216e-04	1.887319e-05
3.038990896874840e-04	2.167110e-05
3.064506673873242e-04	3.863069e-05
3.087100032150502e-04	5.921936e-05
3.112159267777676e-04	7.630954e-05
3.135356595313715e-04	7.925863e-05
3.164833033010125e-04	6.423700e-05
3.181545801674179e-04	4.964148e-05
3.197488402729408e-04	3.593614e-05
3.214030960463573e-04	2.550367e-05
3.233696927792930e-04	2.150330e-05
3.252184519215834e-04	2.695051e-05
3.273483764128194e-04	4.164741e-05
3.294769857721658e-04	5.942709e-05
3.319809719839333e-04	7.447402e-05
3.343683113993815e-04	7.631528e-05
3.374557838008867e-04	6.072312e-05
3.391120569747150e-04	4.731274e-05
3.407436405017478e-04	3.495008e-05
3.425047677498146e-04	2.608802e-05
3.445200531548954e-04	2.452376e-05
3.466316911762981e-04	3.282276e-05
3.486501851113832e-04	4.711612e-05
3.508180562786749e-04	6.312953e-05
3.533438076287591e-04	7.410479e-05
3.559042222439939e-04	7.160994e-05
3.594625894802654e-04	5.098807e-05
3.614013765614404e-04	3.728902e-05
3.630532086049765e-04	2.903463e-05
3.652436512884940e-04	2.657677e-05
3.673060073298158e-04	3.347747e-05
3.694681706564321e-04	4.720048e-05
3.717052362477593e-04	6.223340e-05
3.743313696664956e-04	7.222543e-05
3.769347123354678e-04	6.914207e-05
3.806788268260475e-04	4.878376e-05
3.827524918331041e-04	3.600752e-05
3.845146846670703e-04	2.939635e-05
3.867371637289834e-04	2.958258e-05
