time	V(n001)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.623573184903733e-07	-2.890026e-07	-3.569871e-09
5.247146369807466e-07	5.014024e-08	-1.325161e-08
7.870719554711199e-07	1.017429e-06	-2.904523e-08
1.049429273961493e-06	2.612862e-06	-5.095072e-08
1.311786592451867e-06	4.836442e-06	-7.896807e-08
1.574143910942240e-06	7.688166e-06	-1.130973e-07
1.836501229432612e-06	1.116804e-05	-1.533384e-07
2.324782479432613e-06	2.167466e-05	-2.410700e-07
2.813063729432613e-06	3.702113e-05	-3.449603e-07
3.301344979432613e-06	5.790954e-05	-4.624748e-07
3.789626229432613e-06	8.490666e-05	-5.907689e-07
4.766188729432613e-06	1.587530e-04	-8.671875e-07
5.742751229432614e-06	2.600148e-04	-1.147996e-06
6.231032479432614e-06	3.206720e-04	-1.281741e-06
6.719313729432615e-06	3.875615e-04	-1.406818e-06
7.207594979432615e-06	4.601623e-04	-1.520310e-06
7.695876229432616e-06	5.378071e-04	-1.619590e-06
8.184157479432616e-06	6.197444e-04	-1.702381e-06
8.672438729432617e-06	7.050880e-04	-1.766804e-06
9.160719979432617e-06	7.928911e-04	-1.811425e-06
9.649001229432617e-06	8.821644e-04	-1.835286e-06
1.013728247943262e-05	9.718728e-04	-1.837922e-06
1.062556372943262e-05	1.060982e-03	-1.819375e-06
1.111384497943262e-05	1.148460e-03	-1.780184e-06
1.160212622943262e-05	1.233365e-03	-1.721377e-06
1.209040747943262e-05	1.314766e-03	-1.644440e-06
1.257868872943262e-05	1.391859e-03	-1.551278e-06
1.306696997943262e-05	1.463916e-03	-1.444173e-06
1.404353247943262e-05	1.590732e-03	-1.198790e-06
1.550837622943262e-05	1.733035e-03	-7.979761e-07
1.599665747943262e-05	1.767526e-03	-6.682766e-07
1.648493872943262e-05	1.795955e-03	-5.456882e-07
1.697321997943262e-05	1.818716e-03	-4.330747e-07
1.746150122943262e-05	1.836427e-03	-3.330506e-07
1.794978247943262e-05	1.849755e-03	-2.479195e-07
1.843806372943263e-05	1.859519e-03	-1.796223e-07
1.892634497943263e-05	1.866562e-03	-1.296922e-07
1.941462622943263e-05	1.871845e-03	-9.922062e-08
1.990290747943263e-05	1.876331e-03	-8.883391e-08
2.039118872943263e-05	1.881013e-03	-9.868033e-08
2.087946997943263e-05	1.886841e-03	-1.284291e-07
2.136775122943263e-05	1.894809e-03	-1.772805e-07
2.185603247943263e-05	1.905770e-03	-2.439870e-07
2.234431372943263e-05	1.920517e-03	-3.268850e-07
2.283259497943263e-05	1.939807e-03	-4.239360e-07
2.332087622943263e-05	1.964270e-03	-5.327770e-07
2.380915747943263e-05	1.994354e-03	-6.507775e-07
2.527400122943263e-05	2.121131e-03	-1.030785e-06
2.625056372943263e-05	2.236352e-03	-1.275715e-06
2.673884497943263e-05	2.302460e-03	-1.386893e-06
2.722712622943263e-05	2.373632e-03	-1.487025e-06
2.771540747943263e-05	2.449234e-03	-1.573797e-06
2.820368872943263e-05	2.528515e-03	-1.645223e-06
2.869196997943263e-05	2.610738e-03	-1.699687e-06
2.918025122943263e-05	2.694975e-03	-1.735985e-06
2.966853247943264e-05	2.780317e-03	-1.753346e-06
3.015681372943264e-05	2.865891e-03	-1.751451e-06
3.064509497943263e-05	2.950703e-03	-1.730439e-06
3.113337622943263e-05	3.033799e-03	-1.690898e-06
3.162165747943263e-05	3.114409e-03	-1.633854e-06
3.210993872943263e-05	3.191668e-03	-1.560739e-06
3.259821997943263e-05	3.264898e-03	-1.473361e-06
3.308650122943263e-05	3.333391e-03	-1.373854e-06
3.406306372943264e-05	3.454470e-03	-1.148317e-06
3.552790747943264e-05	3.592436e-03	-7.850697e-07
3.601618872943264e-05	3.626784e-03	-6.687899e-07
3.650446997943264e-05	3.655672e-03	-5.595440e-07
3.699275122943264e-05	3.679562e-03	-4.598808e-07
3.748103247943264e-05	3.699025e-03	-3.721102e-07
3.796931372943264e-05	3.714630e-03	-2.982498e-07
3.845759497943264e-05	3.727201e-03	-2.399786e-07
3.894587622943264e-05	3.737479e-03	-1.985988e-07
3.943415747943264e-05	3.746383e-03	-1.750068e-07
3.992243872943264e-05	3.754722e-03	-1.696745e-07
4.041071997943264e-05	3.763457e-03	-1.826393e-07
4.089900122943264e-05	3.773456e-03	-2.135063e-07
4.138728247943264e-05	3.785532e-03	-2.614588e-07
4.187556372943264e-05	3.800487e-03	-3.252804e-07
4.236384497943264e-05	3.819076e-03	-4.033852e-07
4.285212622943264e-05	3.841869e-03	-4.938576e-07
4.334040747943264e-05	3.869430e-03	-5.944984e-07
4.431696997943264e-05	3.940408e-03	-8.163995e-07
4.578181372943265e-05	4.088819e-03	-1.160555e-06
4.675837622943265e-05	4.214463e-03	-1.366100e-06
4.724665747943265e-05	4.284227e-03	-1.454279e-06
4.773493872943265e-05	4.357814e-03	-1.529930e-06
4.822321997943265e-05	4.434627e-03	-1.591325e-06
4.871150122943265e-05	4.513934e-03	-1.637082e-06
4.919978247943265e-05	4.594867e-03	-1.666194e-06
4.968806372943265e-05	4.676593e-03	-1.678054e-06
5.017634497943265e-05	4.758338e-03	-1.672465e-06
5.066462622943265e-05	4.839199e-03	-1.649643e-06
5.115290747943265e-05	4.918432e-03	-1.610212e-06
5.164118872943265e-05	4.995160e-03	-1.555185e-06
5.212946997943265e-05	5.068739e-03	-1.485937e-06
5.261775122943265e-05	5.138431e-03	-1.404175e-06
5.359431372943265e-05	5.264456e-03	-1.211324e-06
5.505915747943265e-05	5.414910e-03	-8.846430e-07
5.603571997943266e-05	5.488663e-03	-6.719525e-07
5.652400122943266e-05	5.518145e-03	-5.747373e-07
5.701228247943266e-05	5.543144e-03	-4.866870e-07
5.750056372943266e-05	5.564253e-03	-4.098391e-07
5.798884497943266e-05	5.582090e-03	-3.459564e-07
5.847712622943266e-05	5.597276e-03	-2.964864e-07
5.896540747943266e-05	5.610588e-03	-2.625289e-07
5.945368872943266e-05	5.622821e-03	-2.448117e-07
5.994196997943266e-05	5.634729e-03	-2.436750e-07
6.043025122943266e-05	5.647136e-03	-2.590654e-07
