t              nodalLine_nextTo_Loop_Port2.fdtd_Bulk probe_port2_Jz_24_39_80__25_40_80.dat
   0.00000000000000000E+000   0.649812337E-008
   0.15406665743525338E-011   0.154874442E-007
   0.30813331487050677E-011   0.219615899E-007
   0.46219997230576015E-011   0.234954918E-007
   0.61626662974101354E-011   0.213098303E-007
   0.77033328717626692E-011   0.184409181E-007
   0.92439994461152031E-011   0.171253252E-007
   0.10784666020467737E-010   0.176296364E-007
   0.12325332594820271E-010   0.189207405E-007
   0.13865999169172805E-010   0.199600088E-007
   0.15406665743525338E-010   0.203936157E-007
   0.16947332317877872E-010   0.204354560E-007
   0.18487998892230406E-010   0.204589892E-007
   0.20028665466582940E-010   0.207261763E-007
   0.21569332040935474E-010   0.212985416E-007
   0.23109998615288008E-010   0.220452101E-007
   0.24650665189640542E-010   0.227406645E-007
   0.26191331763993075E-010   0.232356516E-007
   0.27731998338345609E-010   0.235745254E-007
   0.29272664912698143E-010   0.239399061E-007
   0.30813331487050677E-010   0.244766163E-007
   0.32353998061403211E-010   0.251720813E-007
   0.33894664635755745E-010   0.258949981E-007
   0.35435331210108278E-010   0.265248055E-007
   0.36975997784460812E-010   0.270398655E-007
   0.38516664358813346E-010   0.275084702E-007
   0.40057330933165880E-010   0.280222547E-007
   0.41597997507518414E-010   0.286343020E-007
   0.43138664081870948E-010   0.293356308E-007
   0.44679330656223482E-010   0.300747303E-007
   0.46219997230576015E-010   0.308033492E-007
   0.47760663804928549E-010   0.315131246E-007
   0.49301330379281083E-010   0.322320481E-007
   0.50841996953633617E-010   0.329872698E-007
   0.52382663527986151E-010   0.337746897E-007
   0.53923330102338685E-010   0.345650761E-007
   0.55463996676691218E-010   0.353353187E-007
   0.57004663251043752E-010   0.360915635E-007
   0.58545329825396286E-010   0.368665418E-007
   0.60085996399748820E-010   0.376971165E-007
   0.61626662974101354E-010   0.385966601E-007
   0.63167329548453888E-010   0.395391346E-007
   0.64707996122806422E-010   0.404722194E-007
   0.66248662697158955E-010   0.413597512E-007
   0.67789329271511489E-010   0.422193125E-007
   0.69329995845864023E-010   0.431118465E-007
   0.70870662420216557E-010   0.440857093E-007
   0.72411328994569091E-010   0.451321256E-007
   0.73951995568921625E-010   0.462003982E-007
   0.75492662143274158E-010   0.472519233E-007
   0.77033328717626692E-010   0.482906835E-007
   0.78573995291979226E-010   0.493460917E-007
   0.80114661866331760E-010   0.504440152E-007
   0.81655328440684294E-010   0.516003738E-007
   0.83195995015036828E-010   0.528231254E-007
   0.84736661589389362E-010   0.540979386E-007
   0.86277328163741895E-010   0.553771713E-007
   0.87817994738094429E-010   0.566109328E-007
   0.89358661312446963E-010   0.578033905E-007
   0.90899327886799497E-010   0.590240461E-007
   0.92439994461152031E-010   0.603436447E-007
   0.93980661035504565E-010   0.617607725E-007
   0.95521327609857098E-010   0.632053343E-007
   0.97061994184209632E-010   0.646149729E-007
   0.98602660758562166E-010   0.659950246E-007
   0.10014332733291470E-009   0.674017855E-007
   0.10168399390726723E-009   0.688829260E-007
